"";"month.of.tweet";"day.of.tweet";"day.of.week";"hour.of.tweet";"period.of.tweet";"text";"route";"routetype";"disrupt";"disrupt_reason";"reasongroup"
"3402";"1";"26";"Friday";" 7";"Morning Rush";"506 carlton diverting westbound via bathurst dundas due to stalled streetcar at college and dovercourt. ";"506";"streetcar";"detour";"to stalled streetcar at college and dovercourt";"stalled streetcar"
"3403";"1";"26";"Friday";" 6";"Morning Rush";"72 pape diverting bothways via commissioners leslie eastern due to autos in collision at carlaw and lake shore. ";"72";"bus";"detour";"to autos in collision at carlaw and lake shore";"collision on the road"
"3404";"1";"26";"Friday";" 3";"Late night";"elevator alert finchwest station concourse level to street level out of service. ";"finchwest";"elevator";"elevator down";NA;NA
"3405";"1";"25";"Thursday";"22";"Evening";"elevator alert finch station subway platform to collector level out of service. ";"finch";"elevator";"elevator down";NA;NA
"3406";"1";"25";"Thursday";"21";"Evening";"trains are holding both ways on line 1 at st andrew due to toronto fire investigation. ";"line 1";"subway";"delay";"to toronto fire investigation";"fire"
"3407";"1";"25";"Thursday";"20";"Evening";"service suspended on line 2 woodbine to broadview stations due to police investigation at coxwell station. ";"line 2";"subway";"no service";"to police investigation at coxwell station";"police/security"
"3408";"1";"25";"Thursday";"19";"Evening Rush";"elevator alert finch station subway platform to collector level out of service. ";"finch";"elevator";"elevator down";NA;NA
"3409";"1";"25";"Thursday";"18";"Evening Rush";"53 steeles diverting eastbound via conarcher cummer bayview due to collision at steeles and bayview. ";"53";"bus";"detour";"to collision at steeles and bayview";"collision on the road"
"3410";"1";"25";"Thursday";"18";"Evening Rush";"customers on line 2 trains are bypassing islington station both ways due to police investigation inside station. ";"line 2";"subway";"bypass";"to police investigation inside station";"police/security"
"3411";"1";"25";"Thursday";"18";"Evening Rush";"elevator alert bayview station concourse to subway platform out of service. ";"bayview";"elevator";"elevator down";NA;NA
